cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
3,2017,1,14.5414,22.2595,26.5101,26.2864,10.4027,0.150943,0.160377,0.358491,0.254717,0.075472,684.428571,4,3,301,13,201713,290.714286,242.142857,894,-4.285714,3.428571,1.5,0.14285699999999998
3,2017,2,13.5211,23.9437,29.2958,25.3521,7.8873,0.14541400000000002,0.222595,0.26510100000000003,0.262864,0.104027,322.857143,4,3,302,13,201713,235.142857,185.571429,355,-7.714286,4.0,1.5,1.0
3,2017,3,9.6939,19.898,45.4082,21.9388,3.0612,0.135211,0.239437,0.292958,0.253521,0.078873,188.428571,4,3,303,13,201713,150.428571,117.142857,196,-8.285714,1.285714,2.214286,0.428571
3,2017,4,14.9254,18.6567,45.52240000000001,19.403,1.4925000000000002,0.096939,0.19898,0.454082,0.219388,0.030612,163.0,4,3,304,13,201713,274.142857,243.857143,134,-6.428571,3.857143,1.785714,0.857143
3,2017,5,11.4504,16.0305,43.5115,26.7176,2.2901,0.149254,0.186567,0.455224,0.19403,0.014925,170.71428600000004,4,3,305,13,201713,224.428571,186.428571,131,-7.428571000000002,4.142857,1.785714,0.714286
3,2017,6,15.0,18.0,41.0,18.0,8.0,0.114504,0.160305,0.435115,0.267176,0.022901,186.571429,4,3,306,13,201713,140.28571399999998,111.571429,100,-7.0,5.0,1.785714,0.857143
3,2017,7,25.4902,17.6471,33.3333,21.5686,1.9608,0.15,0.18,0.41,0.18,0.08,173.85714299999995,4,3,307,13,201713,243.0,200.571429,51,-3.666667,8.0,1.928571,0.714286
3,2017,8,5.8824000000000005,35.2941,38.2353,17.6471,2.9412000000000003,0.254902,0.17647100000000002,0.333333,0.215686,0.019608,200.571429,4,3,308,13,201713,127.142857,95.285714,34,-4.142857,7.857142999999999,2.357143,0.857143
3,2017,9,0.0,22.2222,55.55560000000001,22.2222,0.0,0.058824,0.352941,0.382353,0.17647100000000002,0.029412,292.428571,2,3,309,13,201713,102.571429,77.14285699999998,9,-1.285714,13.857143,1.785714,0.714286
3,2017,10,56.25,25.0,18.75,0.0,0.0,0.0,0.222222,0.555556,0.222222,0.0,257.571429,1,3,310,13,201713,90.142857,61.714286,16,-1.5,13.666667000000002,1.5,0.857143
3,2017,11,9.5238,33.3333,23.8095,28.571400000000004,4.7619,0.5625,0.25,0.1875,0.0,0.0,228.285714,1,3,311,13,201713,122.28571399999998,93.428571,21,1.4285709999999998,16.0,1.785714,0.714286
3,2017,12,3.125,43.75,25.0,21.875,6.25,0.095238,0.333333,0.238095,0.285714,0.047619,162.428571,1,3,312,13,201713,154.428571,118.428571,32,3.571429,13.0,1.5,0.14285699999999998
3,2017,13,13.0435,17.3913,52.1739,13.0435,4.3478,0.03125,0.4375,0.25,0.21875,0.0625,133.85714299999998,1,3,313,13,201713,95.142857,66.85714300000001,23,4.0,17.0,1.785714,0.857143
3,2017,14,18.1818,22.7273,40.9091,4.5455000000000005,13.636400000000002,0.130435,0.173913,0.5217390000000001,0.130435,0.043478,158.428571,1,3,314,13,201713,143.428571,113.142857,22,9.714286,20.285714,1.5,0.14285699999999998
3,2017,15,6.6667000000000005,40.0,26.6667,20.0,6.6667000000000005,0.181818,0.227273,0.409091,0.045455,0.136364,128.0,1,3,315,13,201713,84.285714,60.0,15,8.714286,22.714286,1.5,0.714286
3,2017,16,35.4839,6.4516,41.9355,12.9032,3.2258,0.06666699999999999,0.4,0.266667,0.2,0.06666699999999999,127.571429,1,3,316,13,201713,95.428571,59.285714,31,9.142857,24.428571,1.785714,0.714286
3,2017,17,41.1765,5.8824000000000005,35.2941,17.6471,0.0,0.354839,0.06451599999999999,0.419355,0.12903199999999998,0.032257999999999995,105.142857,1,3,317,13,201713,73.285714,41.142857,17,9.857143,25.714286,2.071429,0.857143
3,2017,18,19.0476,17.4603,38.0952,22.2222,3.1746000000000003,0.411765,0.058824,0.352941,0.17647100000000002,0.0,121.857143,1,3,318,13,201713,209.714286,35.857143,126,11.0,26.428571,3.214286,0.571429
3,2017,19,22.2222,22.2222,44.4444,11.1111,0.0,0.190476,0.174603,0.380952,0.222222,0.031746,108.0,1,3,319,13,201713,106.142857,53.571429,18,13.428571,29.0,2.928571,0.857143
3,2017,20,7.6923,30.7692,30.7692,15.3846,15.3846,0.222222,0.222222,0.444444,0.111111,0.0,107.71428600000002,1,3,320,13,201713,139.28571399999998,69.0,13,16.0,30.857143,2.357143,0.857143
3,2017,21,22.2222,23.8095,23.8095,7.9365,22.2222,0.076923,0.307692,0.307692,0.153846,0.153846,97.714286,1,3,321,13,201713,128.428571,54.14285699999999,63,15.285714000000002,29.857143,2.357143,0.714286
3,2017,22,0.0,33.3333,33.3333,22.2222,11.1111,0.222222,0.238095,0.238095,0.07936499999999999,0.222222,98.857143,1,3,322,13,201713,121.28571399999998,50.714286,9,16.428570999999998,29.285714,2.071429,0.428571
3,2017,23,0.0,40.0,30.0,15.0,15.0,0.0,0.333333,0.333333,0.222222,0.111111,120.571429,2,3,323,13,201713,116.428571,50.42857100000001,20,16.714285999999998,30.0,2.642857,0.714286
3,2017,24,20.0,30.0,20.0,20.0,10.0,0.0,0.4,0.3,0.15,0.15,135.71428600000002,2,3,324,13,201713,168.0,64.14285699999999,10,18.428571,31.857143,2.642857,0.571429
3,2017,25,0.0,33.3333,33.3333,33.3333,0.0,0.2,0.3,0.2,0.2,0.1,129.14285700000002,2,3,325,13,201713,141.14285700000005,51.285714,9,19.428571,31.142857,2.357143,0.14285699999999998
3,2017,26,15.0,25.0,25.0,35.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,114.28571399999998,2,3,326,13,201713,180.571429,59.571429,20,22.142857,34.285714,1.5,1.0
3,2017,27,23.0769,15.3846,46.1538,15.3846,0.0,0.15,0.25,0.25,0.35,0.0,110.0,2,3,327,13,201713,156.428571,56.714286,13,23.571429,33.428571000000005,1.5,0.285714
3,2017,28,13.7931,34.482800000000005,24.1379,24.1379,3.4483,0.230769,0.153846,0.461538,0.153846,0.0,85.285714,2,3,328,13,201713,159.0,47.571429,29,24.714286,35.857143,1.785714,0.571429
3,2017,29,0.0,12.5,75.0,12.5,0.0,0.137931,0.344828,0.241379,0.241379,0.034483,92.857143,2,3,329,13,201713,94.0,53.428571,24,24.857143,33.0,1.5,0.14285699999999998
3,2017,30,20.0,20.0,50.0,0.0,10.0,0.0,0.125,0.75,0.125,0.0,110.28571399999998,2,3,330,13,201713,75.42857099999998,53.14285699999999,10,20.857143,29.428571,1.785714,0.0
3,2017,31,10.0,30.0,30.0,20.0,10.0,0.2,0.2,0.5,0.0,0.1,74.85714300000002,2,3,331,13,201713,108.71428600000002,58.571429,20,23.714286,32.857143,1.5,0.571429
3,2017,32,17.5,42.5,20.0,17.5,2.5,0.1,0.3,0.3,0.2,0.1,102.285714,2,3,332,13,201713,133.71428600000002,53.85714300000001,40,22.428571,33.571428999999995,1.5,0.428571
3,2017,33,14.285700000000002,14.285700000000002,64.2857,7.142900000000001,0.0,0.175,0.425,0.2,0.175,0.025,92.142857,2,3,333,13,201713,101.714286,45.142857,14,21.857143,30.142857,1.5,0.0
3,2017,34,7.6923,15.3846,38.4615,23.0769,15.3846,0.14285699999999998,0.14285699999999998,0.642857,0.07142899999999999,0.0,115.28571399999998,2,3,334,13,201713,96.142857,50.285714,13,20.571429,30.0,1.5,0.285714
3,2017,35,5.6338,12.676100000000002,19.7183,49.2958,12.676100000000002,0.076923,0.153846,0.384615,0.230769,0.153846,136.428571,2,3,335,13,201713,99.571429,61.14285699999999,71,16.0,25.714286,1.5,0.285714
3,2017,36,5.0,15.0,52.5,22.5,5.0,0.056338,0.12676099999999998,0.197183,0.492958,0.12676099999999998,127.0,3,3,336,13,201713,155.571429,83.57142900000002,40,17.571429000000002,29.285714,1.5,0.428571
3,2017,37,29.1667,8.333300000000001,29.1667,29.1667,4.1667000000000005,0.05,0.15,0.525,0.225,0.05,123.28571399999998,3,3,337,13,201713,121.71428600000002,59.85714300000001,24,16.285714000000002,28.428571,1.5,0.571429
3,2017,38,5.1282000000000005,11.9658,69.2308,12.8205,0.8547000000000001,0.291667,0.083333,0.291667,0.291667,0.041667,101.428571,3,3,338,13,201713,123.28571399999998,42.857143,117,14.428571,28.571429,1.5,0.714286
3,2017,39,12.765999999999998,17.0213,42.5532,21.2766,6.382999999999999,0.051282000000000015,0.119658,0.692308,0.128205,0.008546999999999999,124.571429,3,3,339,13,201713,102.714286,66.714286,47,13.428571,25.0,1.785714,0.428571
3,2017,40,3.125,12.5,43.75,31.25,9.375,0.12766,0.170213,0.425532,0.212766,0.06383,130.71428600000002,3,3,340,13,201713,79.14285699999998,54.428571,32,21.142857,10.285714,2.357143,0.285714
3,2017,41,18.5185,7.4074,44.4444,25.9259,3.7037,0.03125,0.125,0.4375,0.3125,0.09375,130.428571,3,3,341,13,201713,58.714286,38.714286,27,16.142857,8.857142999999997,1.785714,0.285714
3,2017,42,4.7619,17.8571,28.571400000000004,44.0476,4.7619,0.185185,0.074074,0.444444,0.259259,0.037037,166.14285700000005,3,3,342,13,201713,104.142857,78.85714300000002,84,18.285714,10.142857,1.5,0.428571
3,2017,43,6.976699999999999,10.4651,36.0465,43.0233,3.4884,0.047619,0.178571,0.285714,0.440476,0.047619,169.85714299999995,3,3,343,13,201713,114.142857,84.14285699999998,86,17.714285999999994,7.571428999999998,1.785714,0.571429
3,2017,44,1.9231000000000005,17.3077,51.9231,17.3077,11.5385,0.069767,0.104651,0.360465,0.430233,0.034884,134.28571399999998,3,3,344,13,201713,85.14285699999998,59.14285699999999,52,9.142857,10.857143,1.785714,0.857143
3,2017,45,15.493000000000002,21.126800000000006,30.9859,16.9014,15.493000000000002,0.019231,0.173077,0.519231,0.173077,0.115385,151.14285700000005,3,3,345,13,201713,115.857143,79.14285699999998,71,2.571429,14.428571,2.071429,0.571429
3,2017,46,9.8039,25.4902,35.2941,25.4902,3.9216,0.15492999999999998,0.211268,0.309859,0.169014,0.15492999999999998,143.428571,3,3,346,13,201713,84.0,58.0,51,-4.5,9.0,2.071429,0.714286
3,2017,47,8.235299999999999,16.470599999999994,28.2353,38.8235,8.235299999999999,0.098039,0.254902,0.352941,0.254902,0.039216,154.428571,3,3,347,13,201713,142.85714299999995,101.857143,85,-5.142857,9.285714,2.357143,1.0
3,2017,48,13.6691,25.8993,37.4101,20.8633,2.1583,0.082353,0.164706,0.282353,0.388235,0.082353,148.0,3,3,348,13,201713,115.142857,96.0,139,-6.142857,5.857143,1.785714,0.857143
3,2017,49,24.7619,22.8571,32.381,18.0952,1.9048,0.136691,0.258993,0.374101,0.208633,0.021583,143.71428600000004,4,3,349,13,201713,135.0,75.85714300000002,105,-6.714286,7.142857000000001,2.071429,1.0
3,2017,50,14.285700000000002,20.4082,42.8571,16.3265,6.1224,0.247619,0.228571,0.32381,0.180952,0.019048,143.14285700000005,4,3,350,13,201713,119.71428600000002,67.85714300000001,49,-9.0,2.571429,2.214286,0.714286
3,2017,51,2.0833,20.8333,43.75,27.0833,6.25,0.14285699999999998,0.204082,0.428571,0.16326500000000002,0.061224,147.28571399999996,4,3,351,13,201713,124.0,90.285714,48,-5.714286,6.714286,2.357143,0.857143
3,2017,52,6.7416,10.1124,41.573,31.46070000000001,10.1124,0.020833,0.208333,0.4375,0.270833,0.0625,172.71428600000004,4,3,352,13,201713,175.28571399999996,140.0,89,-6.714286,4.714286,2.5,0.857143
3,2018,1,13.636400000000002,22.7273,31.8182,31.8182,0.0,0.067416,0.101124,0.41573,0.314607,0.101124,145.14285700000005,4,3,301,13,201813,132.571429,99.142857,22,-8.0,1.857143,1.785714,0.285714
3,2018,2,4.6511999999999984,9.3023,41.8605,41.8605,2.3256,0.136364,0.227273,0.318182,0.318182,0.0,133.14285700000002,4,3,302,13,201813,123.571429,90.571429,43,-9.285714,3.142857,2.5,0.857143
3,2018,3,5.8824000000000005,14.7059,38.2353,36.7647,4.4118,0.046512,0.093023,0.418605,0.418605,0.023256,158.85714299999995,4,3,303,13,201813,176.85714299999995,135.85714299999998,68,-7.714286,4.571429,1.5,0.571429
3,2018,4,14.285700000000002,21.4286,42.8571,21.4286,0.0,0.058824,0.147059,0.382353,0.367647,0.044118,108.142857,4,3,304,13,201813,118.571429,89.14285699999998,28,-12.0,-2.857143,2.071429,0.714286
3,2018,5,7.142900000000001,7.142900000000001,71.4286,7.142900000000001,7.142900000000001,0.14285699999999998,0.214286,0.428571,0.214286,0.0,99.142857,4,3,305,13,201813,78.85714300000002,55.428571,14,-10.571429,3.428571,1.928571,0.857143
3,2018,6,10.0,0.0,80.0,10.0,0.0,0.07142899999999999,0.07142899999999999,0.714286,0.07142899999999999,0.07142899999999999,95.428571,4,3,306,13,201813,87.285714,60.285714,10,-9.571429,3.857143,3.357143,0.714286
3,2018,7,15.0,30.0,25.0,30.0,0.0,0.1,0.0,0.8,0.1,0.0,82.42857099999998,4,3,307,13,201813,152.28571399999996,115.0,20,-5.285714,7.571428999999998,1.928571,0.571429
3,2018,8,0.0,0.0,77.7778,22.2222,0.0,0.15,0.3,0.25,0.3,0.0,101.0,4,3,308,13,201813,115.571429,85.14285699999998,9,-3.857143,7.571428999999998,2.357143,0.571429
3,2018,9,0.0,5.0,60.0,35.0,0.0,0.0,0.0,0.777778,0.222222,0.0,131.571429,2,3,309,13,201813,157.71428600000004,118.428571,20,-1.0,10.5,2.071429,0.571429
3,2018,10,12.5,37.5,50.0,0.0,0.0,0.0,0.05,0.6,0.35,0.0,126.571429,1,3,310,13,201813,101.142857,75.0,8,-1.142857,9.142857,1.5,0.571429
3,2018,11,11.1111,11.1111,37.7778,35.5556,4.4444,0.125,0.375,0.5,0.0,0.0,131.28571399999998,1,3,311,13,201813,157.28571399999996,118.142857,45,3.142857,14.0,2.071429,0.571429
3,2018,12,0.0,11.1111,33.3333,44.4444,11.1111,0.111111,0.111111,0.377778,0.355556,0.044444,125.428571,1,3,312,13,201813,100.714286,74.285714,9,3.666667,16.666667,1.785714,0.428571
3,2018,13,5.9701,19.403,25.3731,38.806,10.4478,0.0,0.111111,0.333333,0.444444,0.111111,137.428571,1,3,313,13,201813,93.142857,64.57142900000001,67,9.857143,23.285714,1.928571,0.857143
3,2018,14,9.0909,29.545500000000004,31.8182,25.0,4.5455000000000005,0.059701,0.19403,0.253731,0.38806,0.104478,122.142857,1,3,314,13,201813,76.57142900000002,44.571429,44,4.666667,17.333333,2.642857,0.571429
3,2018,15,7.6923,7.6923,38.4615,38.4615,7.6923,0.090909,0.295455,0.318182,0.25,0.045455,74.14285699999998,1,3,315,13,201813,75.42857099999998,43.714286,13,7.428571000000002,20.857143,2.642857,0.571429
3,2018,16,0.0,21.0526,47.3684,21.0526,10.5263,0.076923,0.076923,0.384615,0.384615,0.076923,114.428571,1,3,316,13,201813,103.571429,57.0,19,11.857143,23.857143,2.642857,0.428571
3,2018,17,14.285700000000002,28.571400000000004,28.571400000000004,28.571400000000004,0.0,0.0,0.210526,0.473684,0.210526,0.105263,113.142857,1,3,317,13,201813,105.71428600000002,58.0,7,11.714286,24.428571,1.785714,0.571429
3,2018,18,0.0,50.0,40.0,10.0,0.0,0.14285699999999998,0.285714,0.285714,0.285714,0.0,88.85714300000002,1,3,318,13,201813,94.285714,34.571428999999995,10,12.0,25.714286,2.5,0.571429
3,2018,19,11.1111,11.1111,44.4444,22.2222,11.1111,0.0,0.5,0.4,0.1,0.0,79.57142900000002,1,3,319,13,201813,114.0,50.714286,9,13.857143,27.428571,2.071429,0.571429
3,2018,20,25.0,37.5,25.0,0.0,12.5,0.111111,0.111111,0.444444,0.222222,0.111111,106.571429,1,3,320,13,201813,91.714286,50.42857100000001,8,18.428571,27.714286,2.071429,0.14285699999999998
3,2018,21,0.0,18.1818,27.2727,45.4545,9.0909,0.25,0.375,0.25,0.0,0.125,96.714286,1,3,321,13,201813,103.0,49.142857,11,14.0,28.285714,2.5,0.571429
3,2018,22,28.571400000000004,14.285700000000002,0.0,42.8571,14.285700000000002,0.0,0.181818,0.272727,0.454545,0.090909,76.57142900000002,1,3,322,13,201813,127.857143,34.571428999999995,7,15.857143,32.0,2.071429,0.714286
3,2018,23,0.0,0.0,50.0,50.0,0.0,0.285714,0.14285699999999998,0.0,0.428571,0.14285699999999998,84.42857099999998,2,3,323,13,201813,130.0,27.714286,4,18.571429,31.857143,1.785714,0.428571
3,2018,24,12.5,0.0,75.0,12.5,0.0,0.0,0.0,0.5,0.5,0.0,85.42857099999998,2,3,324,13,201813,142.571429,42.714286,8,19.142857,31.0,1.785714,0.428571
3,2018,25,0.0,20.0,0.0,80.0,0.0,0.125,0.0,0.75,0.125,0.0,110.28571399999998,2,3,325,13,201813,163.14285700000005,42.142857,5,21.285714,34.142857,2.357143,0.714286
3,2018,26,12.5,25.0,62.5,0.0,0.0,0.0,0.2,0.0,0.8,0.0,67.85714300000001,2,3,326,13,201813,137.571429,39.285714,8,22.571429,35.57142899999999,1.785714,0.857143
3,2018,27,0.0,33.3333,33.3333,33.3333,0.0,0.125,0.25,0.625,0.0,0.0,65.714286,2,3,327,13,201813,143.0,45.142857,3,23.285714,32.714286,1.5,0.14285699999999998
3,2018,28,40.0,20.0,20.0,0.0,20.0,0.0,0.333333,0.333333,0.333333,0.0,60.14285699999999,2,3,328,13,201813,63.428571,36.42857100000001,5,22.285714,28.571429,1.5,0.0
3,2018,29,42.8571,0.0,28.571400000000004,28.571400000000004,0.0,0.4,0.2,0.2,0.0,0.2,69.0,2,3,329,13,201813,84.85714300000002,36.142857,7,25.571429,33.142857,2.071429,0.0
3,2018,30,50.0,0.0,0.0,50.0,0.0,0.428571,0.0,0.285714,0.285714,0.0,51.0,2,3,330,13,201813,95.714286,30.714286,2,24.714286,33.142857,1.785714,0.285714
3,2018,31,0.0,30.0,30.0,30.0,10.0,0.5,0.0,0.0,0.5,0.0,42.0,2,3,331,13,201813,114.28571399999998,43.285714,10,26.285714,35.57142899999999,1.5,0.571429
3,2018,32,0.0,0.0,60.0,20.0,20.0,0.0,0.3,0.3,0.3,0.1,74.57142900000002,2,3,332,13,201813,74.42857099999998,30.285714,5,24.428571,30.857143,1.5,0.0
3,2018,33,0.0,33.3333,66.6667,0.0,0.0,0.0,0.0,0.6,0.2,0.2,34.285714,2,3,333,13,201813,78.42857099999998,22.285714,3,22.0,29.428571,2.357143,0.14285699999999998
3,2018,34,33.3333,33.3333,0.0,33.3333,0.0,0.0,0.333333,0.666667,0.0,0.0,68.42857099999999,2,3,334,13,201813,95.857143,28.428571,3,19.857143,31.0,1.785714,0.571429
3,2018,35,8.333300000000001,0.0,41.6667,41.6667,8.333300000000001,0.333333,0.333333,0.0,0.333333,0.0,75.285714,2,3,335,13,201813,88.0,33.857143,12,19.857143,29.142857,1.5,0.285714
3,2018,36,5.0,15.0,70.0,10.0,0.0,0.083333,0.0,0.416667,0.416667,0.083333,70.285714,3,3,336,13,201813,64.57142900000001,21.714286,20,15.285714000000002,29.714286,2.214286,1.0
3,2018,37,0.0,13.3333,33.3333,53.3333,0.0,0.05,0.15,0.7,0.1,0.0,77.714286,3,3,337,13,201813,89.285714,51.857143,15,16.428570999999998,27.142857,1.785714,0.0
3,2018,38,10.5263,5.263199999999999,42.1053,42.1053,0.0,0.0,0.13333299999999998,0.333333,0.533333,0.0,70.42857099999998,3,3,338,13,201813,61.85714300000001,37.714286,19,12.0,25.0,2.071429,0.571429
3,2018,39,4.0,12.0,60.0,24.0,0.0,0.105263,0.052632000000000005,0.421053,0.421053,0.0,103.714286,3,3,339,13,201813,66.285714,38.714286,25,9.142857,23.857143,1.928571,0.571429
