cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr,popw
1,2014,40,33.3333,33.3333,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.857143,1,140,21,201421,90.714286,64.328571,3,9.142857,17.714285999999994,3.571429,0.571429,349.8
1,2014,41,8.6957,21.7391,33.3333,21.7391,14.4928,0.333333,0.333333,0.333333,0.0,0.0,124.0,1,141,21,201421,128.0,92.628571,69,10.571429,19.857143,4.0,0.714286,349.8
1,2014,42,3.5714,17.8571,46.4286,28.571400000000004,3.5714,0.086957,0.217391,0.333333,0.217391,0.144928,124.142857,1,142,21,201421,110.428571,76.871429,28,8.857142999999997,19.142857,4.214286,0.571429,349.8
1,2014,43,11.7647,19.6078,25.4902,37.2549,5.8824000000000005,0.035714,0.178571,0.464286,0.285714,0.035714,115.28571399999998,1,143,21,201421,144.85714299999995,105.528571,51,9.0,17.333333,3.857143,0.857143,349.8
1,2014,44,5.8537,17.0732,32.6829,35.6098,8.7805,0.117647,0.196078,0.254902,0.372549,0.058824,219.857143,1,144,21,201421,181.857143,181.571429,205,6.285714,14.714285999999998,3.642857,0.714286,349.8
1,2014,45,43.75,6.25,25.0,18.75,6.25,0.058537,0.170732,0.326829,0.356098,0.087805,104.714286,1,145,21,201421,114.142857,83.1,16,1.833333,13.166667000000002,3.785714,0.857143,349.8
1,2014,46,23.0769,7.6923,30.7692,23.0769,15.3846,0.4375,0.0625,0.25,0.1875,0.0625,90.714286,1,146,21,201421,109.142857,72.814286,13,-2.142857,6.428571,3.714286,0.857143,349.8
1,2014,47,13.4615,18.2692,19.2308,43.26920000000001,5.7692,0.230769,0.076923,0.307692,0.230769,0.153846,151.71428600000004,1,147,21,201421,152.71428600000004,117.928571,104,0.833333,9.5,3.785714,0.571429,349.8
1,2014,48,33.3333,9.0909,24.2424,30.303,3.0303,0.134615,0.182692,0.192308,0.432692,0.057691999999999986,97.428571,1,148,21,201421,112.28571399999998,72.028571,33,-6.8,1.2,4.071429,0.714286,349.8
1,2014,49,11.7647,11.7647,23.5294,41.1765,11.7647,0.333333,0.090909,0.242424,0.30303,0.030303,51.0,1,149,21,201421,84.0,52.485714,17,-10.0,-3.428571,3.571429,0.857143,349.8
1,2014,50,0.0,25.0,62.5,12.5,0.0,0.117647,0.117647,0.235294,0.411765,0.117647,101.714286,1,150,21,201421,97.714286,70.871429,8,-11.714286,-3.571429,3.857143,0.571429,349.8
1,2014,51,20.0,6.6667000000000005,73.33330000000002,0.0,0.0,0.0,0.25,0.625,0.125,0.0,66.285714,1,151,21,201421,77.42857099999998,54.571429,15,-10.714286,-1.285714,3.714286,0.857143,349.8
1,2014,52,17.6471,5.8824000000000005,29.4118,44.1176,2.9412000000000003,0.2,0.06666699999999999,0.733333,0.0,0.0,59.285714,1,152,21,201421,123.0,93.957143,34,-6.857142999999999,2.142857,3.642857,1.0,349.8
1,2015,1,25.0,25.0,25.0,16.666700000000002,8.333300000000001,0.17647100000000002,0.058824,0.294118,0.441176,0.029412,41.285714,1,101,21,201521,87.14285699999998,56.871429000000006,12,-8.857142999999997,-0.571429,3.785714,0.714286,349.8
1,2015,2,6.6667000000000005,13.3333,20.0,60.0,0.0,0.25,0.25,0.25,0.166667,0.083333,58.714286,1,102,21,201521,112.428571,83.971429,15,-9.428571,0.0,3.714286,0.714286,349.8
1,2015,3,20.0,24.0,36.0,16.0,4.0,0.06666699999999999,0.13333299999999998,0.2,0.6,0.0,26.0,1,103,21,201521,128.0,96.2,25,-10.142857,-2.428571,3.785714,0.428571,349.8
1,2015,4,16.0,4.0,44.0,28.000000000000004,8.0,0.2,0.24,0.36,0.16,0.04,70.85714300000002,1,104,21,201521,174.14285700000005,136.78571399999998,25,-10.571429,-1.4285709999999998,3.714286,0.857143,349.8
1,2015,5,6.6667000000000005,33.3333,26.6667,26.6667,6.6667000000000005,0.16,0.04,0.44,0.28,0.08,51.714286,1,105,21,201521,120.428571,90.371429,15,-9.714286,-1.142857,3.785714,0.714286,349.8
1,2015,6,16.0,20.0,56.00000000000001,4.0,4.0,0.06666699999999999,0.333333,0.266667,0.266667,0.06666699999999999,58.285714,1,106,21,201521,93.0,58.428571,25,-9.428571,-0.857143,3.714286,1.0,349.8
1,2015,7,17.241400000000002,13.7931,41.3793,20.6897,6.8966,0.16,0.2,0.56,0.04,0.04,58.85714300000001,1,107,21,201521,148.28571399999996,115.757143,29,-4.857143,3.571429,3.5,0.714286,349.8
1,2015,8,8.0,8.0,32.0,32.0,20.0,0.172414,0.137931,0.413793,0.206897,0.068966,56.571429,1,108,21,201521,166.0,98.457143,25,-4.0,4.0,3.785714,0.571429,349.8
1,2015,9,18.93,25.9259,21.3992,14.4033,19.3416,0.08,0.08,0.32,0.32,0.2,156.85714299999995,1,109,21,201521,71.57142900000002,46.0,243,-5.571429,1.714286,3.714286,0.714286,349.8
1,2015,10,8.5106,31.91490000000001,29.7872,21.2766,8.5106,0.1893,0.259259,0.213992,0.144033,0.193416,136.28571399999998,1,110,21,201521,85.42857099999998,55.64285699999999,47,-3.857143,3.857143,4.285714,0.857143,349.8
1,2015,11,14.285700000000002,14.285700000000002,22.8571,37.1429,11.4286,0.085106,0.319149,0.297872,0.212766,0.085106,115.857143,1,111,21,201521,88.42857099999998,62.942857,35,1.0,9.285714,3.714286,0.714286,349.8
1,2015,12,17.1429,25.7143,37.1429,8.5714,11.4286,0.14285699999999998,0.14285699999999998,0.228571,0.371429,0.11428599999999997,126.71428600000002,1,112,21,201521,113.142857,73.028571,35,2.285714,12.0,3.857143,1.0,349.8
